ens_gene,Symbol,Uniq_syms,entrez,Gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Proca1,Proca1,Proca1,216974,protein interacting with cyclin A1,17.24088559,-0.024910884,0.110236148,0.090794236,NA
Marchf2,Marchf2,Marchf2,224703,membrane associated ring-CH-type finger 2,2755.60799,0.056857017,0.0639024,0.090812022,0.590538054
Snhg20,Snhg20,Snhg20,76972,small nucleolar RNA host gene 20,1228.623588,0.052389486,0.076380587,0.090818289,0.590538054
ENSMUSG00000109947.1,NA,ENSMUSG00000109947.1,NA,NA,9.411972856,-0.020880858,0.112222759,0.090870698,NA
Nsa2,Nsa2,Nsa2,59050,NSA2 ribosome biogenesis homolog,1186.839621,-0.055964715,0.066570825,0.090892143,0.590538054
Mir5119,Mir5119,Mir5119,100628613,microRNA 5119,6.334536885,-0.018565441,0.113117845,0.090927147,NA
Atad2b,Atad2b,Atad2b,320817,"ATPase family, AAA domain containing 2B",2397.488412,-0.056956098,0.063494634,0.090934738,0.590538054
Rpl19-ps7,Rpl19-ps7,Rpl19-ps7,665813,"ribosomal protein L19, pseudogene 7",346.2370532,-0.049374707,0.08386067,0.090943623,0.590538054
ENSMUSG00000110530.1,NA,ENSMUSG00000110530.1,NA,NA,1.409297004,-0.00836415,0.117077708,0.091004178,NA
Rps6ka2,Rps6ka2,Rps6ka2,20112,"ribosomal protein S6 kinase, polypeptide 2",20.41737902,0.029044619,0.107965663,0.091035622,NA
Sfswap,Sfswap,Sfswap,231769,splicing factor SWAP,1643.56428,-0.058559421,0.056428043,0.091043358,0.590692288
Usp28,Usp28,Usp28,235323,ubiquitin specific peptidase 28,818.5306833,0.05618514,0.065804957,0.091062678,0.590692288
I830077J02Rik,I830077J02Rik,I830077J02Rik,433638,RIKEN cDNA I830077J02 gene,14.13407411,-0.024081643,0.110566799,0.091198541,NA
Igtp,Igtp,Igtp,16145,interferon gamma induced GTPase,2411.837246,0.058699092,0.05452482,0.091213388,0.591211879
Cdc42ep2,Cdc42ep2,Cdc42ep2,104252,CDC42 effector protein 2,5.191888991,0.016528937,0.113569515,0.091298185,NA
Zfp941,Zfp941,Zfp941,407812,zinc finger protein 941,11.13067835,0.022779071,0.11120046,0.091339842,NA
Spag7,Spag7,Spag7,216873,sperm associated antigen 7,1490.774348,-0.056960519,0.063182697,0.091350401,0.591211879
Mocs3,Mocs3,Mocs3,69372,molybdenum cofactor synthesis 3,235.2960061,0.050845335,0.079961967,0.091394605,0.591211879
Ostm1,Ostm1,Ostm1,14628,osteopetrosis associated transmembrane protein 1,3540.508302,0.058660316,0.054482003,0.091421822,0.591211879
Gucy2e,Gucy2e,Gucy2e,14919,guanylate cyclase 2e,5.382007916,-0.018199845,0.113129387,0.091424289,NA
Rfxap,Rfxap,Rfxap,170767,regulatory factor X-associated protein,1429.325466,0.055966782,0.066181042,0.091470373,0.591211879
Sdha,Sdha,Sdha,66945,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",8541.388013,0.058430032,0.050121629,0.091499587,0.591211879
Cul3,Cul3,Cul3,26554,cullin 3,5804.786659,0.058466965,0.050367579,0.091499703,0.591211879
Gm46430,Gm46430,Gm46430,108168101,"predicted gene, 46430",529.2546215,0.055127993,0.068550211,0.09152433,0.591211879
H3c11,H3c11,H3c11,319153,H3 clustered histone 11,11.83130542,-0.017456282,0.113286921,0.0916888,NA
Col23a1,Col23a1,Col23a1,237759,"collagen, type XXIII, alpha 1",37.34035474,-0.033961023,0.10485765,0.091795092,0.591522244
Gan,Gan,Gan,209239,giant axonal neuropathy,393.4450823,-0.050673576,0.080127889,0.091798896,0.591522244
E130317F20Rik,E130317F20Rik,E130317F20Rik,414101,RIKEN cDNA E130317F20 gene,55.64303455,-0.034493717,0.10446324,0.091907063,0.591522244
ENSMUSG00000104671.1,NA,ENSMUSG00000104671.1,NA,NA,49.34656584,0.03765783,0.101984157,0.091917619,0.591522244
Ppp1r16a,Ppp1r16a,Ppp1r16a,73062,"protein phosphatase 1, regulatory subunit 16A",368.0034851,0.046765313,0.089029313,0.091958713,0.591522244
Ankrd39,Ankrd39,Ankrd39,109346,ankyrin repeat domain 39,610.0467566,0.05497826,0.06867583,0.091978686,0.591522244
Zfp704,Zfp704,Zfp704,170753,zinc finger protein 704,16.62711095,0.024903214,0.109924024,0.092024242,NA
Crbn,Crbn,Crbn,58799,cereblon,2977.629682,0.057297748,0.061452738,0.092108652,0.591522244
Usp49,Usp49,Usp49,224836,ubiquitin specific peptidase 49,54.01261897,-0.036166483,0.103168503,0.092108694,0.591522244
Irf8,Irf8,Irf8,15900,interferon regulatory factor 8,321.0392414,-0.044184589,0.093746666,0.09214498,0.591522244
Usp32,Usp32,Usp32,237898,ubiquitin specific peptidase 32,911.9569042,-0.057349174,0.061219609,0.092164542,0.591522244
Stx18,Stx18,Stx18,71116,syntaxin 18,395.8410443,0.054943796,0.068646507,0.092174343,0.591522244
Pi4k2a,Pi4k2a,Pi4k2a,84095,phosphatidylinositol 4-kinase type 2 alpha,1566.545253,0.057902018,0.058914045,0.092184112,0.591522244
ENSMUSG00000098066.2,NA,ENSMUSG00000098066.2,NA,NA,41.03541068,-0.036751764,0.102660909,0.092212112,0.591522244
ENSMUSG00000103454.1,NA,ENSMUSG00000103454.1,NA,NA,7.093057524,-0.018842662,0.112738036,0.092262783,NA
Kidins220,Kidins220,Kidins220,77480,kinase D-interacting substrate 220,2328.4553,-0.056955068,0.062513383,0.092304334,0.591522244
ENSMUSG00000111777.1,NA,ENSMUSG00000111777.1,NA,NA,4.952606743,-0.014102616,0.113658522,0.092315588,NA
Selenof,Selenof,Selenof,93684,selenoprotein F,3903.398108,-0.056994227,0.062367062,0.092321572,0.591522244
Ndufc2,Ndufc2,Ndufc2,68197,NADH:ubiquinone oxidoreductase subunit C2,2044.101495,-0.054005187,0.071111521,0.092335878,0.591522244
Angptl1,Angptl1,Angptl1,72713,angiopoietin-like 1,9.25306523,0.020107667,0.112194223,0.092464892,NA
Ppip5k2,Ppip5k2,Ppip5k2,227399,diphosphoinositol pentakisphosphate kinase 2,1885.621178,-0.058367773,0.055628534,0.092465442,0.59204629
ENSMUSG00000105970.1,NA,ENSMUSG00000105970.1,NA,NA,26.40741685,-0.029022852,0.107580007,0.092500787,NA
ENSMUSG00000082313.1,NA,ENSMUSG00000082313.1,NA,NA,2.129133909,0.007959858,0.117872221,0.092516864,NA
Cd200,Cd200,Cd200,17470,CD200 molecule,58.3615414,0.035453921,0.10354357,0.092633323,0.592462009
Supt5,Supt5,Supt5,20924,"suppressor of Ty 5, DSIF elongation factor subunit",5476.42214,0.057868367,0.048382609,0.09264161,0.592462009
Gm10420,Gm10420,Gm10420,108169197,predicted gene 10420,21.08225895,0.022860121,0.110833699,0.092665693,NA
C2cd3,C2cd3,C2cd3,277939,C2 calcium-dependent domain containing 3,1512.912406,-0.05528088,0.067380653,0.092673752,0.592462009
ENSMUSG00000091993.2,NA,ENSMUSG00000091993.2,NA,NA,30.55462069,-0.029773289,0.107102238,0.092731669,NA
Zfp94,Zfp94,Zfp94,22756,zinc finger protein 94,149.3107914,-0.046888113,0.08821796,0.092895517,0.593067077
G2e3,G2e3,G2e3,217558,G2/M-phase specific E3 ubiquitin ligase,1047.356857,-0.056254223,0.064363505,0.092901773,0.593067077
ENSMUSG00000085262.1,NA,ENSMUSG00000085262.1,NA,NA,6.829388154,-0.020070977,0.11210522,0.092931863,NA
ENSMUSG00000085206.1,NA,ENSMUSG00000085206.1,NA,NA,1.836263087,0.010465503,0.114038222,0.092951771,NA
Ivd,Ivd,Ivd,56357,isovaleryl coenzyme A dehydrogenase,785.7272144,-0.057240574,0.060959146,0.093016738,0.593067077
Setd6,Setd6,Setd6,66083,SET domain containing 6,802.4501842,0.056992374,0.061831273,0.093059065,0.593067077
ENSMUSG00000117596.1,NA,ENSMUSG00000117596.1,NA,NA,8.212545928,-0.018250571,0.112771891,0.093075693,NA
Trav1,Trav1,Trav1,627171,T cell receptor alpha variable 1,4.044265982,-0.010467365,0.114017259,0.093078917,NA
Mob2,Mob2,Mob2,101513,MOB kinase activator 2,2075.242662,0.056088149,0.064752732,0.093082202,0.593067077
ENSMUSG00000097835.1,NA,ENSMUSG00000097835.1,NA,NA,152.6917774,0.041300941,0.097556192,0.093128069,0.593067077
Gm5525,Gm5525,Gm5525,433283,eukaryotic translation elongation factor 1 gamma pseudogene,99.54159094,-0.045109411,0.091577061,0.093158678,0.593067077
ENSMUSG00000097574.2,NA,ENSMUSG00000097574.2,NA,NA,72.73596297,0.036551129,0.102488442,0.093208448,0.593067077
Ndufs7,Ndufs7,Ndufs7,75406,NADH:ubiquinone oxidoreductase core subunit S7,2886.925669,0.057284486,0.06062771,0.093223427,0.593067077
ENSMUSG00000104291.1,NA,ENSMUSG00000104291.1,NA,NA,6081.167633,-0.05560213,0.06609084,0.093246832,0.593067077
ENSMUSG00000077420.1,NA,ENSMUSG00000077420.1,NA,NA,4.908539994,-0.014496619,0.113476863,0.093294967,NA
ENSMUSG00000118485.1,NA,ENSMUSG00000118485.1,NA,NA,15.44708834,-0.025563292,0.109230408,0.093364054,NA
Cat,Cat,Cat,12359,catalase,3788.595833,0.05782239,0.058110426,0.093375151,0.59357865
ENSMUSG00000086243.1,NA,ENSMUSG00000086243.1,NA,NA,1.725612383,-0.007751464,0.118364073,0.093411605,NA
Plekhj1,Plekhj1,Plekhj1,78670,"pleckstrin homology domain containing, family J member 1",2098.629825,0.057403303,0.059920165,0.093506445,0.593619018
Fdx2,Fdx2,Fdx2,68165,ferredoxin 2,1.929259117,-0.009705146,0.114429664,0.093551059,NA
Cnih4,Cnih4,Cnih4,98417,cornichon family AMPA receptor auxiliary protein 4,1560.275431,0.057543769,0.05926852,0.093563405,0.593619018
ENSMUSG00000086942.1,NA,ENSMUSG00000086942.1,NA,NA,42.19236381,-0.034142753,0.104194518,0.093565009,0.593619018
ENSMUSG00000102844.1,NA,ENSMUSG00000102844.1,NA,NA,66.08712391,-0.039894667,0.099072307,0.093612129,0.593619018
Acvr2b,Acvr2b,Acvr2b,11481,activin receptor IIB,3.066893431,-0.01227526,0.113541001,0.093621633,NA
Gm9701,Gm9701,Gm9701,676984,predicted gene 9701,93.80878835,-0.014280496,0.113432701,0.093663458,0.593619018
Actl6a,Actl6a,Actl6a,56456,actin-like 6A,1728.041737,0.055651815,0.065674485,0.093668829,0.593619018
Map1a,Map1a,Map1a,17754,microtubule-associated protein 1 A,3.204274012,0.011183771,0.113684404,0.093682834,NA
Top3a,Top3a,Top3a,21975,topoisomerase (DNA) III alpha,832.8567867,0.05698383,0.061322426,0.09378109,0.594026772
Gm25636,Gm25636,Gm25636,115486823,"predicted gene, 25636",2.781350007,-0.011512787,0.113587239,0.093901115,NA
Zfp874a,Zfp874a,Zfp874a,238692,zinc finger protein 874a,566.7305255,-0.054361924,0.069152937,0.09391732,0.594561665
Mcidas,Mcidas,Mcidas,622408,multiciliate differentiation and DNA synthesis associated cell cycle protein,2.576112763,0.012827199,0.113458737,0.093959221,NA
Tcf20,Tcf20,Tcf20,21411,transcription factor 20,1113.755158,-0.053620723,0.071093931,0.09400804,0.594561665
Pde1c,Pde1c,Pde1c,18575,phosphodiesterase 1C,6.480933262,0.018733327,0.112396094,0.094073487,NA
ENSMUSG00000109781.1,NA,ENSMUSG00000109781.1,NA,NA,101.6276973,-0.045289826,0.090727686,0.094093482,0.594561665
Arid1a,Arid1a,Arid1a,93760,AT-rich interaction domain 1A,6636.19095,-0.055637731,0.065438826,0.094101087,0.594561665
Ciz1,Ciz1,Ciz1,68379,CDKN1A interacting zinc finger protein 1,1376.071102,0.057717354,0.057868954,0.094128182,0.594561665
Ogg1,Ogg1,Ogg1,18294,8-oxoguanine DNA-glycosylase 1,437.7640866,0.048356995,0.084204887,0.094170084,0.594561665
Alyref,Alyref,Alyref,21681,Aly/REF export factor,3371.630628,0.058126635,0.054381563,0.094201283,0.594561665
AI837181,AI837181,AI837181,107242,expressed sequence AI837181,884.5814996,0.056591355,0.062316599,0.094303807,0.594659569
Pja2,Pja2,Pja2,224938,praja ring finger ubiquitin ligase 2,1418.752764,0.050765999,0.078288344,0.094312739,0.594659569
P2ry6,P2ry6,P2ry6,233571,"pyrimidinergic receptor P2Y, G-protein coupled, 6",2.363882972,0.009233502,0.11477244,0.094341871,NA
Dync1h1,Dync1h1,Dync1h1,13424,dynein cytoplasmic 1 heavy chain 1,4399.095565,-0.05705152,0.060610838,0.094378423,0.594760082
A330032B11Rik,A330032B11Rik,A330032B11Rik,319931,RIKEN cDNA A330032B11 gene,1.345275982,0.009244981,0.114747522,0.094401935,NA
Cdr2,Cdr2,Cdr2,12585,cerebellar degeneration-related 2,137.0451954,0.04288769,0.094698189,0.09442464,0.594760082
Extl2,Extl2,Extl2,58193,exostosin-like glycosyltransferase 2,320.2598597,0.046596384,0.087896495,0.094486658,0.594807794
ENSMUSG00000103076.1,NA,ENSMUSG00000103076.1,NA,NA,33.01228393,-0.031162573,0.105813115,0.094528183,0.594807794
ENSMUSG00000097564.2,NA,ENSMUSG00000097564.2,NA,NA,5.015460495,0.016705436,0.112921413,0.094564186,NA
Apln,Apln,Apln,30878,apelin,4.845154477,0.014606484,0.11325387,0.094614313,NA
Lman2l,Lman2l,Lman2l,214895,"lectin, mannose-binding 2-like",599.9252205,0.048298724,0.084048534,0.094645915,0.595246455
Altre,Altre,Altre,100504026,aging liver Treg-expressed non-protein coding RNA,3.365637934,-0.011585552,0.113463738,0.094669905,NA
Ddias,Ddias,Ddias,74041,DNA damage-induced apoptosis suppressor,140.2236239,0.047102526,0.086635943,0.094797922,0.595732682
Themis,Themis,Themis,210757,thymocyte selection associated,9987.118172,-0.057782101,0.05664862,0.094819344,0.595732682
Utp18,Utp18,Utp18,217109,UTP18 small subunit processome component,1327.171348,-0.056531713,0.062116376,0.094874363,0.595776393
Dnm2,Dnm2,Dnm2,13430,dynamin 2,10605.42835,0.05681264,0.061075275,0.094941518,0.59589623
Gm24630,Gm24630,Gm24630,115490242,"predicted gene, 24630",5.13589554,-0.015485048,0.113078224,0.0950241,NA
ENSMUSG00000097266.1,NA,ENSMUSG00000097266.1,NA,NA,2.326195053,-0.007086804,0.121089914,0.095055008,NA
ENSMUSG00000091191.2,NA,ENSMUSG00000091191.2,NA,NA,198.1403368,-0.048855662,0.082493819,0.095059423,0.596276054
ENSMUSG00000103253.1,NA,ENSMUSG00000103253.1,NA,NA,655.1960886,-0.052422031,0.07357342,0.095098238,0.596276054
ENSMUSG00000081865.1,NA,ENSMUSG00000081865.1,NA,NA,8.740712992,-0.022352829,0.110494505,0.095178354,NA
Adora2a,Adora2a,Adora2a,11540,adenosine A2a receptor,2880.607467,-0.055924169,0.063869986,0.095191896,0.596309502
Actr1b,Actr1b,Actr1b,226977,"ARP1 actin-related protein 1B, centractin beta",1758.753298,0.057524207,0.057768464,0.095199783,0.596309502
Rap2c,Rap2c,Rap2c,72065,"RAP2C, member of RAS oncogene family",1899.147387,0.057671457,0.056696421,0.095353068,0.596737231
ENSMUSG00000079179.9,NA,ENSMUSG00000079179.9,NA,NA,940.1489215,-0.057410117,0.058040984,0.095519855,0.596737231
Trip12,Trip12,Trip12,14897,thyroid hormone receptor interactor 12,8481.750357,-0.056113523,0.062995503,0.095610436,0.596737231
Tiam2,Tiam2,Tiam2,24001,T cell lymphoma invasion and metastasis 2,67.08366367,0.041770532,0.095803181,0.095630565,0.596737231
Golim4,Golim4,Golim4,73124,golgi integral membrane protein 4,1703.938415,-0.054874423,0.06667366,0.095643635,0.596737231
Hyal1,Hyal1,Hyal1,15586,hyaluronoglucosaminidase 1,37.73150271,0.036993971,0.101272515,0.095656201,0.596737231
Herc6,Herc6,Herc6,67138,hect domain and RLD 6,925.979348,0.055018636,0.066254357,0.095660924,0.596737231
Enpp4,Enpp4,Enpp4,224794,ectonucleotide pyrophosphatase/phosphodiesterase 4,113.8589345,-0.045976694,0.088489451,0.095690746,0.596737231
Mir703,Mir703,Mir703,735265,microRNA 703,245.3540546,-0.051164445,0.076425555,0.095701324,0.596737231
ENSMUSG00000088189.1,NA,ENSMUSG00000088189.1,NA,NA,11.82679117,-0.022441192,0.110304358,0.095795314,NA
Sucla2,Sucla2,Sucla2,20916,"succinate-Coenzyme A ligase, ADP-forming, beta subunit",3293.165386,0.055588325,0.064498346,0.095807937,0.596763509
E130308A19Rik,E130308A19Rik,E130308A19Rik,230259,RIKEN cDNA E130308A19 gene,224.4632296,0.050904075,0.077011949,0.095816646,0.596763509
ENSMUSG00000117412.1,NA,ENSMUSG00000117412.1,NA,NA,7.14555506,-0.019249556,0.111822062,0.095844055,NA
Acadvl,Acadvl,Acadvl,11370,"acyl-Coenzyme A dehydrogenase, very long chain",1583.617431,0.054194958,0.068428483,0.095849963,0.596763509
Tex15,Tex15,Tex15,104271,testis expressed gene 15,47.02430024,-0.032194024,0.104791602,0.095931241,0.596876771
ENSMUSG00000087142.7,NA,ENSMUSG00000087142.7,NA,NA,14.73832906,0.02478995,0.108999687,0.09598231,NA
B2m,B2m,B2m,12010,beta-2 microglobulin,87502.41315,-0.056833571,0.046848653,0.095984935,0.596876771
Gm4924,Gm4924,Gm4924,237412,predicted gene 4924,86.8497981,-0.038261566,0.099923297,0.096012607,0.596876771
Elovl7,Elovl7,Elovl7,74559,ELOVL fatty acid elongase 7,392.6950464,0.051726204,0.074772038,0.096073036,0.596953059
BC028528,BC028528,BC028528,229600,cDNA sequence BC028528,7.460768608,0.016849204,0.112586978,0.096176945,NA
Cpne2,Cpne2,Cpne2,234577,copine II,130.7883605,0.044834125,0.090456413,0.096191646,0.597390601
ENSMUSG00000058357.2,NA,ENSMUSG00000058357.2,NA,NA,11.22050885,-0.022557694,0.110141946,0.096230218,NA
ENSMUSG00000097763.1,NA,ENSMUSG00000097763.1,NA,NA,1.389122041,-0.008123724,0.116413993,0.096257179,NA
Zswim8,Zswim8,Zswim8,268721,zinc finger SWIM-type containing 8,1695.056475,-0.056375526,0.061648719,0.096298285,0.5977534
ENSMUSG00000105336.1,NA,ENSMUSG00000105336.1,NA,NA,1.362609613,-0.008163054,0.116290303,0.096347109,NA
Dip2b,Dip2b,Dip2b,239667,disco interacting protein 2 homolog B,1928.856171,-0.056987127,0.059195143,0.096429909,0.598054756
ENSMUSG00000097108.1,NA,ENSMUSG00000097108.1,NA,NA,301.3078273,-0.049480943,0.08013114,0.09647731,0.598054756
Aunip,Aunip,Aunip,69885,aurora kinase A and ninein interacting protein,15.35044237,-0.025093254,0.108712213,0.096483395,NA
ENSMUSG00000111292.1,NA,ENSMUSG00000111292.1,NA,NA,47.76089853,-0.034831511,0.102790853,0.096519826,0.598054756
Gm6222,Gm6222,Gm6222,621381,predicted pseudogene 6222,5.280044016,0.017214991,0.112393885,0.096658666,NA
Taok1,Taok1,Taok1,216965,TAO kinase 1,3270.36203,-0.054363408,0.067478276,0.096667283,0.598054756
Zmym1,Zmym1,Zmym1,68310,"zinc finger, MYM domain containing 1",318.3287362,0.047813944,0.083949702,0.096667482,0.598054756
Skic3,Skic3,Skic3,218343,SKI3 subunit of superkiller complex,831.2728842,-0.056075616,0.062371311,0.096723618,0.598054756
ENSMUSG00000087017.7,NA,ENSMUSG00000087017.7,NA,NA,2.072071656,-0.009100772,0.114494855,0.09675875,NA
Sgsm2,Sgsm2,Sgsm2,97761,small G protein signaling modulator 2,195.2068834,-0.044295107,0.091155192,0.096764988,0.598054756
Npepl1,Npepl1,Npepl1,228961,aminopeptidase-like 1,3478.609509,0.053284862,0.070315832,0.096771381,0.598054756
Wdr46-ps,Wdr46-ps,Wdr46-ps,100416160,Wdr46 retrotransposed pseudogene,41.51124024,-0.034614822,0.102875559,0.096781046,0.598054756
Tor2a,Tor2a,Tor2a,30933,"torsin family 2, member A",1095.152526,0.054122768,0.068031502,0.096843936,0.598145209
Syngap1,Syngap1,Syngap1,240057,synaptic Ras GTPase activating protein 1 homolog (rat),16.55653821,0.027926738,0.107030942,0.096946174,NA
Mfsd2b,Mfsd2b,Mfsd2b,432628,"MFSD2 lysolipid transporter B, sphingolipid",31.65602048,-0.031525821,0.104881473,0.097127059,0.598402103
Igkv5-43,Igkv5-43,Igkv5-43,381783,immunoglobulin kappa chain variable 5-43,2.308300816,-0.007015191,0.120754372,0.097132885,NA
Usp45,Usp45,Usp45,77593,ubiquitin specific petidase 45,869.7428901,-0.053113497,0.070540794,0.09715535,0.598402103
4921531C22Rik,4921531C22Rik,4921531C22Rik,66730,RIKEN cDNA 4921531C22 gene,139.1809645,-0.045871716,0.087880469,0.097169667,0.598402103
Xlr4b,Xlr4b,Xlr4b,27083,X-linked lymphocyte-regulated 4B,1565.741618,0.057282675,0.056911146,0.097202833,0.598402103
Rlim,Rlim,Rlim,19820,"ring finger protein, LIM domain interacting",1589.23133,-0.052967921,0.07086265,0.097256805,0.598402103
Baz2a,Baz2a,Baz2a,116848,"bromodomain adjacent to zinc finger domain, 2A",4267.165034,-0.054483086,0.066774756,0.097292782,0.598402103
Bcl7a,Bcl7a,Bcl7a,77045,B cell CLL/lymphoma 7A,164.274311,-0.040871273,0.096317485,0.097320304,0.598402103
Gm26782,Gm26782,Gm26782,102640338,"predicted gene, 26782",290.5746476,0.051681608,0.074124841,0.097348193,0.598402103
Asl,Asl,Asl,109900,argininosuccinate lyase,1235.91079,0.055265568,0.064485059,0.097369196,0.598402103
Tbc1d4,Tbc1d4,Tbc1d4,210789,"TBC1 domain family, member 4",284.0671643,0.046874453,0.085623493,0.097400305,0.598402103
Adgrg3,Adgrg3,Adgrg3,54672,adhesion G protein-coupled receptor G3,73.96279536,0.041565993,0.095291713,0.097438289,0.598402103
Ambra1,Ambra1,Ambra1,228361,autophagy/beclin 1 regulator 1,2126.945068,-0.057088066,0.057746304,0.097464815,0.598402103
Gm17879,Gm17879,Gm17879,100416030,fibrillarin pseudogene,12.33640617,-0.019923315,0.111151843,0.097612097,NA
Atp2b1,Atp2b1,Atp2b1,67972,"ATPase, Ca++ transporting, plasma membrane 1",13878.48634,-0.055936053,0.062132762,0.097766174,0.599360986
Sdad1,Sdad1,Sdad1,231452,SDA1 domain containing 1,1121.405725,-0.055900694,0.062235667,0.097787644,0.599360986
Msc,Msc,Msc,17681,musculin,320.2799438,0.047678284,0.083581386,0.097827157,0.599360986
Clcn3,Clcn3,Clcn3,12725,"chloride channel, voltage-sensitive 3",2537.988295,-0.057393468,0.051181699,0.097849396,0.599360986
ENSMUSG00000090070.1,NA,ENSMUSG00000090070.1,NA,NA,7.255014906,-0.019394564,0.111332605,0.097891901,NA
Son,Son,Son,20658,Son DNA binding protein,24801.68203,0.055959967,0.045375203,0.097977034,0.599360986
Cacna1a,Cacna1a,Cacna1a,12286,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",139.5330535,-0.040953256,0.095909412,0.098015424,0.599360986
Paqr8,Paqr8,Paqr8,74229,progestin and adipoQ receptor family member VIII,95.76794293,0.041888687,0.094555611,0.098016997,0.599360986
Gm16701,Gm16701,Gm16701,100503962,"predicted gene, 16701",3.399670161,-0.011857445,0.112952349,0.098038267,NA
ENSMUSG00000105572.1,NA,ENSMUSG00000105572.1,NA,NA,44.2800761,-0.037178771,0.100283112,0.098041768,0.599360986
Slf1,Slf1,Slf1,105377,SMC5-SMC6 complex localization factor 1,830.6304143,0.050508455,0.076661024,0.098056154,0.599360986
Rab3b,Rab3b,Rab3b,69908,"RAB3B, member RAS oncogene family",3.443793447,0.013127362,0.112842764,0.098066865,NA
Thoc3,Thoc3,Thoc3,73666,THO complex 3,853.5191392,0.052146267,0.072470307,0.09814781,0.599421269
Slc25a53,Slc25a53,Slc25a53,67062,"solute carrier family 25, member 53",1202.037049,0.054918114,0.065020929,0.098162728,0.599421269
Snx25,Snx25,Snx25,102141,sorting nexin 25,682.6934117,-0.050808399,0.075817569,0.098218122,0.599464227
Tradd,Tradd,Tradd,71609,TNFRSF1A-associated via death domain,2218.872538,0.05704693,0.056938524,0.098419796,0.600399506
ENSMUSG00000106706.1,NA,ENSMUSG00000106706.1,NA,NA,3.125574066,0.012752697,0.112795635,0.098589647,NA
Ep400,Ep400,Ep400,75560,E1A binding protein p400,4527.72856,-0.056227895,0.060519101,0.098611417,0.601097509
Tnfrsf1b,Tnfrsf1b,Tnfrsf1b,21938,"tumor necrosis factor receptor superfamily, member 1b",3033.922619,-0.054581893,0.065704878,0.098631198,0.601097509
Gimap3,Gimap3,Gimap3,83408,"GTPase, IMAP family member 3",44695.57096,0.056320585,0.059996597,0.098837808,0.601596168
Nlrc5,Nlrc5,Nlrc5,434341,"NLR family, CARD domain containing 5",7499.03183,-0.056270516,0.060184643,0.098845513,0.601596168
Reck,Reck,Reck,53614,reversion-inducing-cysteine-rich protein with kazal motifs,1362.386498,0.056016714,0.061100174,0.098871766,0.601596168
Aoc3,Aoc3,Aoc3,11754,"amine oxidase, copper containing 3",1.533560958,0.008544835,0.114920922,0.098927674,NA
ENSMUSG00000105189.1,NA,ENSMUSG00000105189.1,NA,NA,2.276563478,0.011211806,0.112926122,0.098962099,NA
Gm9130,Gm9130,Gm9130,668366,predicted gene 9130,1.670350602,-0.009837111,0.113451635,0.099007216,NA
Xpo1,Xpo1,Xpo1,103573,exportin 1,3654.122444,-0.056198426,0.060277014,0.099090955,0.601596168
Rfx2,Rfx2,Rfx2,19725,"regulatory factor X, 2 (influences HLA class II expression)",76.28268171,0.039263039,0.097643054,0.099122488,0.601596168
Jhy,Jhy,Jhy,70989,junctional cadherin complex regulator,1.378506437,-0.007997542,0.116074764,0.099151008,NA
Cap1,Cap1,Cap1,12331,cyclase associated actin cytoskeleton regulatory protein 1,6044.827195,-0.056168301,0.06034463,0.099153772,0.601596168
Rps6ka5,Rps6ka5,Rps6ka5,73086,"ribosomal protein S6 kinase, polypeptide 5",672.780268,-0.054047792,0.066885074,0.099156348,0.601596168
ENSMUSG00000084625.1,NA,ENSMUSG00000084625.1,NA,NA,4.311387306,-0.015488459,0.11237414,0.099221455,NA
ENSMUSG00000106636.1,NA,ENSMUSG00000106636.1,NA,NA,364.1685452,-0.045103815,0.088322506,0.099226615,0.601596168
Gm5049,Gm5049,Gm5049,269134,"glutamic pyruvic transaminase, soluble pseudogene",1.962223634,-0.00914894,0.113989695,0.099347588,NA
Sae1,Sae1,Sae1,56459,SUMO1 activating enzyme subunit 1,5626.513988,0.055730418,0.061722393,0.099409923,0.601596168
ENSMUSG00000086506.1,NA,ENSMUSG00000086506.1,NA,NA,33.58183492,-0.035176961,0.101621188,0.099427754,0.601596168
Rab28,Rab28,Rab28,100972,"RAB28, member RAS oncogene family",1156.89241,0.054055602,0.066675214,0.099483767,0.601596168
ENSMUSG00000117403.1,NA,ENSMUSG00000117403.1,NA,NA,14.24588394,-0.025795238,0.107596868,0.099512324,NA
Arfgap3,Arfgap3,Arfgap3,66251,ADP-ribosylation factor GTPase activating protein 3,514.2809101,-0.054469755,0.06540454,0.099683877,0.601596168
Prdm4,Prdm4,Prdm4,72843,PR domain containing 4,1093.171411,0.053535807,0.067966369,0.099687359,0.601596168
1810024B03Rik,1810024B03Rik,1810024B03Rik,329509,RIKEN cDNA 1810024B03 gene,155.4570393,-0.0449571,0.088364039,0.099702183,0.601596168
Ano6,Ano6,Ano6,105722,anoctamin 6,2881.063501,0.057020734,0.055326635,0.099705723,0.601596168
Misp3,Misp3,Misp3,70134,MISP family member 3,77.23026265,0.040682162,0.095557846,0.099739277,0.601596168
Lnx2,Lnx2,Lnx2,140887,ligand of numb-protein X 2,1419.783046,-0.054548273,0.065134686,0.099763,0.601596168
Maf1,Maf1,Maf1,68877,"MAF1 homolog, negative regulator of RNA polymerase III",6883.381912,0.055019448,0.063749813,0.099770326,0.601596168
